City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Torbay,47.6666,-52.7314,53.6,43,75,19.57,CA,1620148450
Bac Lieu,9.285,105.7244,84.78,76,100,14.36,VN,1620148450
Tikrit,34.6071,43.6782,89.56,13,40,4.72,IQ,1620148450
Korla,41.7597,86.1469,65.1,21,0,4.27,CN,1620148450
Marawi,7.9986,124.2928,78.01,88,82,5.01,PH,1620148451
Saint Anthony,45.0205,-93.218,55.4,38,75,16.11,US,1620148451
Morro Bay,35.3658,-120.8499,75.2,35,1,2.39,US,1620148177
Altay,47.8667,88.1167,47.59,34,38,7.85,CN,1620148452
Cap Malheureux,-19.9842,57.6142,79.0,87,7,1.01,MU,1620148452
Haines Junction,60.7522,-137.5108,37.4,70,86,1.14,CA,1620148452
San Patricio,28.017,-97.5169,84.2,84,90,10.36,US,1620148452
Shenzhen,22.5455,114.0683,75.0,93,85,1.01,CN,1620148453
Wurzen,51.3667,12.7333,55.4,87,75,24.16,DE,1620148453
Hoskote,14.2769,77.1699,86.68,42,71,7.16,IN,1620148453
Chiang Rai,19.9167,99.9167,80.6,89,0,2.3,TH,1620148454
Ostrovnoy,68.0531,39.5131,32.47,90,100,12.21,RU,1620148454
Norrtälje,59.758,18.705,42.8,70,0,13.8,SE,1620148454
Vao,-22.6667,167.4833,72.0,80,85,27.76,NC,1620148454
Escanaba,45.7453,-87.0646,50.0,71,90,8.05,US,1620148285
Geraldton,-28.7667,114.6,66.2,88,90,9.22,AU,1620148455
Orchard Homes,46.8633,-114.0484,57.99,40,20,5.66,US,1620148455
Binzhou,37.3667,118.0167,53.26,32,2,8.7,CN,1620148455
Ngaoundéré,7.3167,13.5833,64.81,90,100,3.85,CM,1620148455
Charter Township of Clinton,42.587,-82.9199,66.99,100,75,12.66,US,1620148456
Mathbaria,22.2876,89.9593,75.33,78,62,4.7,BD,1620148456
Vardø,70.3705,31.1107,33.8,75,75,13.8,NO,1620148456
Storm Lake,42.6411,-95.2097,53.6,32,1,18.41,US,1620148457
Port-Gentil,-0.7193,8.7815,84.2,79,75,6.91,GA,1620148457
Klyuchi,52.2667,79.1667,50.23,36,26,7.05,RU,1620148457
Salinópolis,-0.6136,-47.3561,82.54,76,53,5.88,BR,1620148458
Saint-François,46.4154,3.9054,60.8,55,90,9.22,FR,1620148458
Rohnert Park,38.3396,-122.7011,73.99,43,1,9.22,US,1620148326
Westport,41.1415,-73.3579,62.6,72,90,8.05,US,1620148458
St. George's,12.0564,-61.7485,75.2,94,75,11.5,GD,1620148458
Key West,24.5557,-81.7826,86.0,74,1,11.5,US,1620148240
Moundou,8.5667,16.0833,85.93,45,91,8.1,TD,1620148459
Banyo,6.75,11.8167,70.56,82,86,1.59,CM,1620148459
Birin,26.8865,88.0718,58.6,85,87,2.77,NP,1620148459
Karaton,-6.3424,106.1045,82.99,78,20,5.75,ID,1620148459
Camocim,-2.9022,-40.8411,81.43,82,62,8.7,BR,1620148460
Pitimbu,-7.4706,-34.8086,78.8,89,75,8.05,BR,1620148460
Rome,43.2128,-75.4557,55.99,94,90,6.91,US,1620148324
Nosy Varika,-20.5833,48.5333,74.59,85,58,3.04,MG,1620148461
Zaysan,47.4667,84.8667,55.24,22,0,7.7,KZ,1620148209
Amahai,-3.3333,128.9167,79.25,85,100,3.94,ID,1620148461
Poum,-20.2333,164.0167,76.19,78,0,9.84,NC,1620148461
Tavagnacco,46.1272,13.2132,61.0,70,79,2.62,IT,1620148461
Talaya,61.3833,152.75,16.05,98,84,2.15,RU,1620148462
Maniitsoq,65.4167,-52.9,36.95,75,54,18.84,GL,1620148462
Aden,12.7794,45.0367,85.64,73,44,6.89,YE,1620148462
Malakal,9.5334,31.6605,87.87,43,68,3.2,SS,1620148462
Quatre Cocos,-20.2078,57.7625,79.0,94,40,3.44,MU,1620148463
Sawākin,19.1059,37.3321,85.89,56,0,2.98,SD,1620148463
Beyneu,45.3167,55.2,75.11,16,0,8.81,KZ,1620148463
Alikalia,9.1667,-11.4,74.75,88,57,4.74,SL,1620148463
Goderich,43.7501,-81.7165,55.4,94,100,10.36,CA,1620148464
Zenzeli,45.9241,47.0474,61.79,71,100,22.68,RU,1620148464
Neuquén,-38.9516,-68.0591,53.6,37,0,9.22,AR,1620148464
Cayenne,4.9333,-52.3333,86.0,70,33,11.5,GF,1620148465
Seoul,37.5683,126.9778,57.2,94,90,8.05,KR,1620148346
Beira,-19.8436,34.8389,73.0,68,20,7.23,MZ,1620148465
Eureka,40.8021,-124.1637,52.0,100,90,4.61,US,1620148307
Dingle,10.9995,122.6711,79.21,84,81,9.26,PH,1620148465
Kalengwa,-13.4659,25.0027,68.43,63,100,2.89,ZM,1620148466
Padang,-0.9492,100.3543,77.0,100,90,8.05,ID,1620148466
Rodrigues Alves,-7.738,-72.6509,86.0,74,20,2.3,BR,1620148466
Erenhot,43.6475,111.9767,44.51,24,12,10.18,CN,1620148466
Rivadavia,-33.1905,-68.4608,53.6,47,40,9.22,AR,1620148467
Kargasok,59.0556,80.8572,41.56,49,100,8.34,RU,1620148467
Río Blanco,18.8333,-97.15,88.68,26,2,2.08,MX,1620148467
Opunake,-39.4556,173.8583,53.01,91,47,14.14,NZ,1620148467
Meadow Lake,34.8014,-106.5436,64.99,54,20,5.75,US,1620148468
Pangkalanbuun,-2.6833,111.6167,76.32,95,100,1.01,ID,1620148468
Albanel,48.8832,-72.4487,50.0,50,100,3.44,CA,1620148468
Batticaloa,7.7102,81.6924,81.39,79,77,10.49,LK,1620148468
Nicoya,10.1483,-85.452,82.4,69,40,8.05,CR,1620148469
Malbork,54.0359,19.0266,53.01,100,100,15.68,PL,1620148469
Virginia Beach,36.8529,-75.978,87.8,48,20,10.36,US,1620148469
Kaz,52.9113,87.3105,36.55,92,100,3.69,RU,1620148469
Lipin Bor,60.2622,37.9763,33.94,97,100,8.14,RU,1620148470
San Miguel,13.4833,-88.1833,89.6,94,40,2.3,SV,1620148470
Walla Walla,46.0646,-118.343,62.01,62,75,6.91,US,1620148470
Sosnovo-Ozerskoye,52.5249,111.5418,30.06,73,2,5.19,RU,1620148470
Prudentópolis,-25.2131,-50.9778,81.95,31,3,3.98,BR,1620148471
Atambua,-9.1061,124.8925,71.24,84,99,5.59,ID,1620148471
Lavrentiya,65.5833,-171.0,16.12,84,6,7.58,RU,1620148471
Dresden,51.0509,13.7383,55.4,50,20,21.85,DE,1620148471
Oranjestad,12.524,-70.027,86.0,66,75,17.27,AW,1620148472
Témiscaming,46.7212,-79.0971,44.6,87,100,5.75,CA,1620148472
Marzuq,14.4,46.4667,79.0,55,64,9.66,YE,1620148472
Villazón,-22.0866,-65.5942,64.92,14,98,15.64,BO,1620148473
Yangi Marg`ilon,40.4272,71.7189,78.8,27,16,6.91,UZ,1620148473
Kutum,14.2,24.6667,86.16,19,31,8.57,SD,1620148473
Victor Harbor,-35.5667,138.6167,53.01,73,100,6.13,AU,1620148474
Mchinji,-13.7984,32.8802,63.48,68,100,3.89,MW,1620148474
Melville,40.7934,-73.4151,66.0,77,90,4.61,US,1620148249
Sam Roi Yot,12.2708,99.872,79.03,83,100,4.36,TH,1620148474
Loreto,22.2667,-101.9667,72.18,11,0,4.54,MX,1620148474
Khandyga,62.6667,135.6,30.11,95,45,2.82,RU,1620148475
Jaisalmer,26.9147,70.9181,93.47,17,13,13.73,IN,1620148475
Banja Luka,44.7758,17.1856,71.6,33,0,3.44,BA,1620148457
Ugoofaaru,5.6667,73.0,85.32,69,36,3.58,MV,1620148475
Härnösand,62.6323,17.9379,46.4,45,0,12.66,SE,1620148475
Moa,20.6569,-74.9403,86.4,59,23,12.26,CU,1620148476
Santoña,43.4439,-3.4576,62.6,59,0,13.8,ES,1620148476
Bairiki Village,1.3292,172.9752,82.4,83,40,10.36,KI,1620148476
Mount Isa,-20.7333,139.5,71.6,30,5,13.8,AU,1620148476
Statesboro,32.4488,-81.7832,86.0,61,75,13.8,US,1620148477
Stavern,59.0,10.0333,43.0,87,90,13.8,NO,1620148477
Nara,34.6851,135.8049,64.0,40,99,2.89,JP,1620148477
Port Keats,-14.25,129.55,75.43,59,5,5.82,AU,1620148477
Shenkursk,62.1091,42.896,32.83,97,100,10.56,RU,1620148478
Opuwo,-18.0607,13.84,78.31,34,66,11.52,NA,1620148478
Nouadhibou,20.931,-17.0347,73.4,56,0,24.16,MR,1620148478
Fort Nelson,58.8053,-122.7002,42.8,87,90,4.61,CA,1620148261
Alice Springs,-23.7,133.8833,51.8,76,100,2.3,AU,1620148336
Bétaré Oya,5.6,14.0833,72.12,83,69,1.3,CM,1620148479
Half Moon Bay,37.4636,-122.4286,70.0,76,1,10.36,US,1620148479
Mamontovo,52.7055,81.6244,47.89,40,65,6.26,RU,1620148479
Baruun-Urt,46.6806,113.2792,39.36,49,10,14.03,MN,1620148480
Phalombe,-15.8064,35.6507,60.1,85,53,3.74,MW,1620148480
Carolina,18.3808,-65.9574,88.0,66,20,21.85,PR,1620148480
Asău,46.4333,26.4,64.4,42,0,11.5,RO,1620148480
Melfi,40.9965,15.6514,61.0,51,100,1.01,IT,1620148481
Luau,-10.7073,22.2247,70.09,74,89,2.82,AO,1620148481
Derzhavīnsk,51.1,66.3167,64.26,39,99,13.73,KZ,1620148481
Atkinson,42.8384,-71.147,53.6,66,90,16.11,US,1620148481
North Bend,43.4065,-124.2243,61.0,88,90,11.5,US,1620148425
Khovu-Aksy,51.1333,93.6,37.13,71,100,8.41,RU,1620148482
Mayumba,-3.432,10.6554,79.84,83,100,5.12,GA,1620148482
Itoman,26.1247,127.6694,73.4,88,40,17.27,JP,1620148482
Nevel',56.0209,29.9284,41.67,74,82,6.44,RU,1620148482
Três Lagoas,-20.7511,-51.6783,92.84,13,6,4.54,BR,1620148483
Xining,36.6167,101.7667,38.41,78,84,1.52,CN,1620148483
Madanapalle,13.55,78.5,77.23,65,78,6.8,IN,1620148483
Hofn,64.2539,-15.2082,39.2,56,75,6.91,IS,1620148483
Waipawa,-41.4122,175.5153,60.01,77,34,11.5,NZ,1620148484
Cuiluan,47.72,128.648,38.97,94,18,4.38,CN,1620148484
Bull Savanna,17.8868,-77.5902,83.89,55,9,16.13,JM,1620148484
San Cristobal,7.7669,-72.225,82.4,61,40,9.22,VE,1620148485
Concordia,-31.393,-58.0209,61.0,67,75,19.57,AR,1620148268
De Aar,-30.6497,24.0123,63.82,33,1,4.56,ZA,1620148485
Clyde River,70.4692,-68.5914,28.4,86,20,23.02,CA,1620148485
Faya,18.3851,42.4509,69.8,68,40,6.4,SA,1620148485
Maumere,-8.6199,122.2111,79.11,78,97,4.5,ID,1620148486
Hukuntsi,-24.0,21.75,65.95,30,0,4.83,BW,1620148486
Urusha,54.05,122.9,33.04,99,100,7.31,RU,1620148486
Rapid Valley,44.0625,-103.1463,60.01,33,1,16.11,US,1620148486
Middelburg,-25.7751,29.4648,59.34,35,0,2.13,ZA,1620148487
Yar-Sale,66.8333,70.8333,15.96,96,10,5.06,RU,1620148487
French Harbor,16.35,-86.4333,86.0,79,20,11.5,HN,1620148487
Hamilton,39.1834,-84.5333,69.01,83,90,10.36,US,1620148274
Smiltene,57.4244,25.9016,48.0,58,94,4.0,LV,1620148488
Brest,52.1,23.7,52.03,61,100,11.43,BY,1620148425
Cockburn Town,21.4612,-71.1419,82.4,65,40,11.5,TC,1620148488
Izvestkovyy,48.9833,131.55,41.07,97,100,3.69,RU,1620148488
Vedea,43.7833,25.7833,61.07,53,0,2.64,RO,1620148488
Aranda de Duero,41.6704,-3.6892,63.1,40,20,10.29,ES,1620148489
Anuchino,43.9622,133.0544,46.69,95,100,4.12,RU,1620148489
Bosaso,11.2842,49.1816,85.55,72,56,6.17,SO,1620148489
Punta de Bombón,-17.1717,-71.7931,68.74,77,82,9.66,PE,1620148489
Bambanglipuro,-7.95,110.2833,77.81,87,100,5.03,ID,1620148490
Caravelas,-17.7125,-39.2481,80.28,66,7,8.19,BR,1620148490
Strezhevoy,60.7333,77.5889,41.0,75,90,11.18,RU,1620148490
Otane,-39.8833,176.6333,55.0,77,0,8.99,NZ,1620148490
Chara,56.9064,118.2631,33.6,88,98,1.61,RU,1620148491
Mahajanga,-15.7167,46.3167,80.6,78,20,6.91,MG,1620148491
Caxias,38.7031,-9.2767,69.8,52,20,23.02,PT,1620148491
Māgadi,12.9667,77.2333,84.0,69,20,6.91,IN,1620148491
Las Vegas,36.175,-115.1372,80.01,9,1,3.09,US,1620148030
Sabla,12.7525,4.7077,104.29,11,97,0.94,NG,1620148492
Nurota,40.5614,65.6886,73.4,64,98,2.3,UZ,1620148492
Kulu,39.0951,33.0799,61.72,58,86,16.91,TR,1620148492
Las Cruces,32.3123,-106.7783,66.99,32,1,4.61,US,1620148319
Faanui,-16.4833,-151.75,82.45,70,100,12.59,PF,1620148493
Cavalcante,-13.7975,-47.4583,80.65,43,73,4.74,BR,1620148493
Khandagayty,50.7333,92.05,42.39,51,64,25.64,RU,1620148493
Codrington,-38.2667,141.9667,49.93,79,48,4.97,AU,1620148493
Paraíso,9.8383,-83.8656,77.0,69,20,9.22,CR,1620148494
Baharly,38.4362,57.4316,64.83,58,100,4.74,TM,1620148494
Yaan,7.3833,8.5667,86.54,51,80,8.63,NG,1620148494
Bonavista,48.6499,-53.1147,51.8,40,43,9.22,CA,1620148494
Crawfordsville,40.0411,-86.8745,55.99,82,75,11.36,US,1620148495
Safi,32.2994,-9.2372,66.96,75,34,16.53,MA,1620148495
Lüshunkou,38.8,121.2667,55.4,50,0,15.66,CN,1620148495
Iralaya,15.0,-83.2333,83.59,69,42,13.58,HN,1620148495
Raymondville,26.4815,-97.7831,91.4,78,90,9.22,US,1620148496
Tombouctou,20.0,-3.0,106.72,6,0,5.41,ML,1620148496
Fuling,29.7022,107.3919,63.14,97,100,1.99,CN,1620148496
Ishigaki,24.3448,124.1572,76.53,90,15,16.73,JP,1620148496
Kungurtug,50.5994,97.5228,36.23,73,61,7.96,RU,1620148497
Santa Luzia,-19.7697,-43.8514,77.0,53,75,4.61,BR,1620148497
Nemuro,43.3236,145.575,36.14,83,68,3.09,JP,1620148497
Emporia,38.4039,-96.1817,60.8,31,1,17.27,US,1620148393
Philadelphia,39.9523,-75.1638,78.01,68,40,3.44,US,1620148226
Estevan,49.1334,-102.9842,50.0,29,1,2.3,CA,1620148498
Pangnirtung,66.1451,-65.7125,33.8,86,1,3.18,CA,1620148498
Viranşehir,37.2353,39.7631,77.31,27,94,8.84,TR,1620148498
Tot'ma,59.9747,42.7642,38.66,94,100,3.89,RU,1620148499
Bongandanga,1.5,21.05,78.46,74,77,1.95,CD,1620148276
Soure,-0.7167,-48.5233,83.61,68,78,5.48,BR,1620148499
Furmanov,57.2508,41.1058,41.0,75,75,6.71,RU,1620148499
Riachão,-7.3619,-46.6172,86.32,48,18,4.61,BR,1620148499
Samarai,-10.6167,150.6667,80.4,81,34,12.82,PG,1620148500
